Episode, Average Raw Score, Average Reward, Average Loss, Epsilon
5800, 223.95, 744.4399999999791, 415203.1171875, 0.009963076437413391
5900, 232.6, 778.6199999999844, 6691115.159375, 0.00996379266046973
6000, 217.55, 729.0079999999762, 4877651.196875, 0.009964508935013727
6100, 233.85, 788.1639999999803, 843439.0484375, 0.009965225261049085
6200, 163.9, 513.9319999999861, 11289134.359375, 0.009965941638579497
6300, 226.05, 791.9359999999864, 3917567.7515625, 0.009966658067608674
6400, 239.4, 789.3639999999816, 4330844.83125, 0.009967374548140314
6500, 257.55, 881.0479999999832, 882405.03125, 0.00996809108017812
6600, 257.2, 845.0719999999766, 1605744.159375, 0.009968807663725798
6700, 228.8, 762.9799999999835, 1653334.309375, 0.009969524298787046
6800, 237.45, 864.6279999999877, 1248042.63125, 0.009970240985365572
6900, 170.95, 525.2559999999847, 1079013.196875, 0.009970957723465073
7000, 239.0, 818.8839999999836, 1989212.784375, 0.009971674513089258
7100, 216.0, 724.5199999999792, 883008.7625, 0.009972391354241827
7200, 201.45, 685.7119999999776, 1353646.0328125, 0.009973108246926491
7300, 260.15, 901.4119999999873, 2840995.20625, 0.009973825191146955
7400, 203.1, 675.1959999999842, 1506221.275, 0.009974542186906918
7500, 232.35, 803.5599999999854, 14729508.1125, 0.009975259234210086
7600, 242.45, 810.6799999999818, 2068187.2015625, 0.009975976333060164
7700, 268.4, 894.3439999999791, 2749015.746875, 0.009976693483460855
7800, 270.05, 890.9239999999795, 2430403.4171875, 0.009977410685415867
7900, 220.6, 742.5439999999793, 1274206.39375, 0.00997812793892891
8000, 233.65, 773.7919999999842, 13825717.8765625, 0.009978845244003687
Episode, Average Raw Score, Average Reward, Average Loss, Epsilon
100, 254.35, 877.5679999999818, 6614599.890625, 0.009979562600643907
